sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
85756,healthy,170.88,170.0,18.32,10.29,88.52,149.0,161.0,180.0,193.0,2000000
85757,healthy,168.62,168.0,17.0,11.32,87.9,148.0,160.0,177.0,189.0,2000000
85770,healthy,171.95,171.0,18.62,9.6,89.08,150.0,162.0,182.0,195.0,2000000
85775,healthy,173.49,172.0,20.14,9.28,88.57,150.0,163.0,184.0,198.0,2000000
85784,healthy,169.61,169.0,17.82,11.2,87.91,148.0,160.0,179.0,191.0,2000000
85787,healthy,170.41,169.0,18.09,10.48,88.41,149.0,161.0,180.0,192.0,2000000
85791,healthy,173.08,172.0,19.36,8.9,89.21,151.0,162.0,183.0,197.0,2000000
85795,healthy,169.16,169.0,17.45,11.26,87.92,148.0,160.0,178.0,190.0,2000000
85816,healthy,170.32,170.0,18.88,11.57,87.16,148.0,160.0,180.0,193.0,2000000
85830,healthy,171.69,171.0,18.3,9.5,89.24,150.0,162.0,181.0,194.0,2000000
85842,healthy,169.64,169.0,16.71,10.0,89.31,149.0,161.0,178.0,190.0,2000000
85854,healthy,168.33,168.0,20.1,15.06,83.73,144.0,158.0,179.0,192.0,2000000
85860,healthy,170.53,170.0,18.85,11.33,87.41,148.0,160.0,180.0,193.0,2000000
85861,healthy,169.6,169.0,17.67,11.23,87.93,148.0,160.0,179.0,191.0,2000000
85878,healthy,171.76,171.0,18.46,9.48,89.13,150.0,162.0,181.0,194.0,2000000
85898,healthy,172.24,171.0,19.38,9.83,88.51,150.0,162.0,182.0,196.0,2000000
85904,healthy,171.49,170.0,19.62,10.81,87.5,148.0,161.0,181.0,196.0,2000000
85905,healthy,169.39,169.0,17.5,11.04,88.13,148.0,160.0,178.0,190.0,2000000
85908,healthy,170.18,170.0,20.01,12.76,85.82,146.0,160.0,181.0,194.0,2000000
85918,healthy,171.62,171.0,19.21,10.29,88.16,149.0,161.0,181.0,195.0,2000000
85928,healthy,167.56,167.0,16.98,12.58,86.8,147.0,159.0,176.0,187.0,2000000
85936,healthy,167.62,168.0,17.75,13.59,85.71,145.0,158.0,177.0,188.0,2000000
85937,healthy,171.39,170.0,19.31,10.5,87.87,149.0,161.0,181.0,195.0,2000000
85941,healthy,168.25,168.0,17.58,12.39,86.85,147.0,159.0,177.0,189.0,2000000
85959,healthy,171.81,171.0,18.53,9.46,89.07,150.0,162.0,181.0,194.0,2000000
85963,healthy,172.2,171.0,18.79,9.17,89.24,151.0,162.0,182.0,195.0,2000000
85970,healthy,172.69,171.0,18.46,8.34,90.05,151.0,163.0,182.0,196.0,2000000
85971,healthy,172.39,171.0,19.37,9.58,88.68,150.0,162.0,182.0,196.0,2000000
85980,healthy,171.81,171.0,18.79,9.74,88.87,150.0,161.0,182.0,195.0,2000000
85985,healthy,170.72,170.0,18.85,10.82,87.8,148.0,161.0,180.0,194.0,2000000
85987,healthy,168.4,168.0,18.04,12.96,86.28,146.0,159.0,178.0,190.0,2000000
85988,healthy,172.59,171.0,19.28,9.44,88.86,150.0,162.0,183.0,196.0,2000000
86276,healthy,146.99,156.0,49.66,43.76,52.13,73.0,120.0,174.0,193.0,2000000
87922,healthy,167.83,168.0,21.3,17.2,81.33,142.0,156.0,179.0,193.0,2000000
87923,healthy,166.04,167.0,20.1,18.14,80.97,141.0,155.0,177.0,189.0,2000000
87924,healthy,165.61,166.0,19.67,18.31,80.92,141.0,155.0,177.0,188.0,2000000
87925,healthy,166.8,167.0,20.03,17.11,81.87,142.0,156.0,178.0,190.0,2000000
87926,healthy,168.18,168.0,22.08,17.63,80.63,141.0,156.0,180.0,194.0,2000000
87927,healthy,166.49,167.0,19.62,17.14,82.03,142.0,156.0,177.0,189.0,2000000
87928,healthy,164.29,166.0,21.25,21.57,77.43,138.0,152.0,176.0,189.0,2000000
87929,healthy,166.04,167.0,21.44,19.79,78.99,140.0,154.0,178.0,191.0,2000000
87932,healthy,167.66,168.0,20.76,16.78,81.94,142.0,156.0,179.0,192.0,2000000
87933,healthy,167.96,168.0,21.45,17.05,81.43,142.0,156.0,179.0,193.0,2000000
87935,healthy,167.4,168.0,21.96,18.3,80.14,141.0,155.0,179.0,193.0,2000000
87936,healthy,167.52,167.0,19.12,15.74,83.26,144.0,157.0,178.0,190.0,2000000
87937,healthy,169.45,169.0,19.5,13.72,84.92,146.0,158.0,180.0,193.0,2000000
87938,healthy,168.67,168.0,19.05,14.03,84.9,145.0,158.0,179.0,191.0,2000000
87940,healthy,167.49,168.0,19.91,16.64,82.3,143.0,156.0,178.0,191.0,2000000
87941,healthy,167.11,168.0,21.73,18.81,79.73,140.0,155.0,179.0,193.0,2000000
87942,healthy,167.76,168.0,20.22,16.56,82.27,143.0,156.0,179.0,192.0,2000000
87943,healthy,167.81,168.0,20.36,16.65,82.36,142.0,157.0,179.0,192.0,2000000
87944,healthy,163.57,165.0,19.34,21.13,78.29,140.0,152.0,175.0,186.0,2000000
87945,healthy,166.08,167.0,20.56,19.02,80.0,141.0,154.0,178.0,190.0,2000000
87946,healthy,166.95,167.0,20.34,17.66,81.29,142.0,155.0,178.0,191.0,2000000
87948,healthy,167.0,167.0,18.81,15.92,83.27,144.0,156.0,177.0,189.0,2000000
87949,healthy,163.74,165.0,18.8,20.33,79.09,140.0,153.0,174.0,185.0,2000000
87950,healthy,169.86,169.0,22.12,16.03,82.03,143.0,157.0,182.0,197.0,2000000
87951,healthy,166.73,167.0,21.13,18.68,80.15,140.0,155.0,178.0,192.0,2000000
87952,healthy,162.26,164.0,20.71,24.75,74.57,136.0,150.0,174.0,186.0,2000000
87953,healthy,165.64,166.0,20.42,19.49,79.59,140.0,154.0,177.0,190.0,2000000
87954,healthy,168.53,168.0,21.05,16.58,81.88,142.0,156.0,180.0,194.0,2000000
87955,healthy,165.98,167.0,20.63,19.16,79.75,141.0,154.0,177.0,190.0,2000000
87956,healthy,165.13,166.0,20.35,20.12,78.81,140.0,153.0,176.0,189.0,2000000
87957,healthy,167.21,168.0,21.26,18.35,80.27,141.0,155.0,179.0,192.0,2000000
87958,healthy,164.42,165.0,19.59,20.0,79.26,140.0,153.0,175.0,187.0,2000000
87959,healthy,163.99,165.0,19.38,20.56,78.82,140.0,153.0,175.0,186.0,2000000
