motif_total_checked,motif_CCCA_freq,motif_CCAG_freq,motif_CCTG_freq,motif_CCAC_freq,motif_ACAG_freq,motif_AAAA_freq,sample_id,group
3000,0.0167,0.0167,0.0183,0.0097,0.004,0.0147,85756,healthy
3000,0.0183,0.017,0.015,0.007,0.004,0.0107,85757,healthy
3000,0.016,0.016,0.018,0.008,0.0057,0.0183,85770,healthy
3000,0.018,0.018,0.0197,0.0067,0.0053,0.0143,85775,healthy
3000,0.0173,0.0163,0.0137,0.009,0.0047,0.01,85784,healthy
3000,0.0177,0.0113,0.015,0.0087,0.008,0.012,85787,healthy
3000,0.0207,0.0163,0.016,0.0103,0.0037,0.011,85791,healthy
3000,0.017,0.0183,0.0137,0.0077,0.003,0.009,85795,healthy
3000,0.0157,0.0137,0.015,0.0073,0.006,0.011,85816,healthy
3000,0.0147,0.017,0.0163,0.0073,0.005,0.0087,85830,healthy
3000,0.017,0.02,0.0127,0.0097,0.006,0.0133,85842,healthy
3000,0.0147,0.0143,0.0173,0.008,0.0087,0.01,85854,healthy
3000,0.0167,0.0133,0.0143,0.0103,0.0047,0.0087,85860,healthy
3000,0.017,0.014,0.0157,0.0077,0.0037,0.011,85861,healthy
3000,0.0177,0.014,0.0197,0.0107,0.004,0.0103,85878,healthy
3000,0.016,0.0163,0.0157,0.0107,0.003,0.0107,85898,healthy
3000,0.0173,0.016,0.016,0.0087,0.003,0.0143,85904,healthy
3000,0.0187,0.0147,0.0173,0.0093,0.0057,0.009,85905,healthy
3000,0.015,0.0167,0.0183,0.008,0.005,0.013,85908,healthy
3000,0.0197,0.0157,0.019,0.0107,0.0033,0.014,85918,healthy
3000,0.0183,0.0143,0.014,0.0083,0.005,0.0113,85928,healthy
3000,0.0203,0.0217,0.0157,0.0073,0.0037,0.0117,85936,healthy
3000,0.018,0.0143,0.017,0.0073,0.0063,0.0133,85937,healthy
3000,0.0173,0.0173,0.0163,0.0083,0.0047,0.012,85941,healthy
3000,0.0167,0.0173,0.0157,0.009,0.0047,0.0107,85959,healthy
3000,0.019,0.014,0.019,0.01,0.0077,0.01,85963,healthy
3000,0.0193,0.02,0.0183,0.0077,0.0057,0.0107,85970,healthy
3000,0.0223,0.013,0.0143,0.0117,0.007,0.0087,85971,healthy
3000,0.016,0.014,0.0167,0.0067,0.0053,0.0107,85980,healthy
3000,0.013,0.0107,0.017,0.004,0.0047,0.0093,85985,healthy
3000,0.0177,0.0143,0.02,0.0093,0.0053,0.0143,85987,healthy
3000,0.0203,0.0197,0.0173,0.0047,0.0057,0.0127,85988,healthy
3000,0.0077,0.0073,0.0053,0.0057,0.0127,0.019,86276,healthy
3000,0.0253,0.019,0.0237,0.012,0.005,0.0087,87922,healthy
3000,0.029,0.02,0.0237,0.0127,0.005,0.0097,87923,healthy
3000,0.0283,0.017,0.025,0.0133,0.0047,0.0107,87924,healthy
3000,0.0267,0.018,0.0243,0.0127,0.0047,0.0087,87925,healthy
3000,0.021,0.021,0.0337,0.0147,0.0077,0.0097,87926,healthy
3000,0.026,0.0177,0.028,0.0137,0.0047,0.01,87927,healthy
3000,0.0243,0.0157,0.022,0.0113,0.004,0.0063,87928,healthy
3000,0.0247,0.0193,0.0267,0.0097,0.0043,0.011,87929,healthy
3000,0.021,0.0183,0.0243,0.012,0.006,0.0097,87932,healthy
3000,0.0217,0.0203,0.0247,0.0103,0.0043,0.0093,87933,healthy
3000,0.02,0.0163,0.0203,0.013,0.005,0.007,87935,healthy
3000,0.0293,0.0193,0.0227,0.011,0.0027,0.007,87936,healthy
3000,0.027,0.0233,0.018,0.012,0.0047,0.0127,87937,healthy
3000,0.0223,0.0133,0.0227,0.0123,0.0067,0.0103,87938,healthy
3000,0.0267,0.018,0.0253,0.0107,0.006,0.007,87940,healthy
3000,0.0163,0.013,0.0233,0.0093,0.007,0.0063,87941,healthy
3000,0.0257,0.018,0.0213,0.008,0.005,0.0093,87942,healthy
3000,0.0247,0.0133,0.022,0.012,0.0057,0.0073,87943,healthy
3000,0.0217,0.019,0.021,0.0097,0.0023,0.0087,87944,healthy
3000,0.026,0.0167,0.0187,0.0103,0.0037,0.011,87945,healthy
3000,0.0263,0.019,0.0243,0.0117,0.0057,0.0047,87946,healthy
3000,0.0163,0.0177,0.0213,0.0123,0.004,0.0097,87948,healthy
3000,0.0243,0.0197,0.018,0.0123,0.005,0.0083,87949,healthy
3000,0.0233,0.02,0.022,0.0097,0.0033,0.0107,87950,healthy
3000,0.0217,0.0183,0.0203,0.0097,0.006,0.0093,87951,healthy
3000,0.0247,0.02,0.02,0.011,0.0053,0.0093,87952,healthy
3000,0.0237,0.022,0.021,0.013,0.004,0.0067,87953,healthy
